0 26860
4 53550
1 80410
2 107100
1 133960
1 190660
3 217350
2 274050
1 330750
4 381150
1 481950
1 497750
1 513450
1 486760
1 459900
1 433210
1 376510
31 349820
1 249020
1 233320
1 176620
2 484100
1 499800
10 528240
1 556500
12 581780
1 606900
7 299250
1 324530
1 349650
1 333950
1 305690
1 255290
1 230170
1 204890
16 288470
15 263350
1 238070
1 211210
1 184520
8 287700
2 394800
1 457800
1 584880
4 635280
12 688830
5 558870
1 451770
1 388770
1 338370
1 322670
2 338370
18 281670
1 306790
10 363490
1 347790
1 322670
1 294230
4 237530
1 307610
1 394550
1 419670
1 526770
6 613570
1 638850
15 693130
1 480830
1 455710
1 348610
1 323330
1 212350
1 155650
1 103490
1 73250
7 89050
11 225650
14 250930
1 235130
1 98530
1 73250
1 53550
2 160650
3 185930
1 234430
1 262870
3 319570
1 374210
6 402650
1 430910
15 323810
1 298530
1 270270
1 187010
1 158750
1 110250
1 56700
1 28260
1 0
11 64740
1 89860
2 152860
1 202940
1 228160
12 256600
1 284860
4 213660
1 150660
1 108900
1 66460
1 16640
1 14940
1 0
5 195470
1 272050
19 297330
8 322610
1 345670
1 84380
1 8000
1 6240
1 160
1 0
1 28440
20 161840
10 28440
1 0
8 366430
10 391550
1 414450
1 442710
13 34500
1 28420
1 28260
18 91260
1 122760
1 218360
5 270080
4 320420
4 288920
1 80000
1 78300
1 50040
1 14940
16 77940
1 106380
1 213480
1 304200
1 331060
1 357750
13 294750
1 266310
1 175590
1 148900
1 122040
1 14940
1 0
15 197950
3 226390
13 311440
3 283000
1 53550
2 0
17 90720
1 106520
1 122220
3 210420
11 88200
1 72500
1 15800
2 0
26 15800
1 31500
5 15800
1 0
5 86940
1 112220
1 179200
5 280000
1 371800
15 478900
5 453620
1 286480
1 221040
1 113940
1 27000
2 123620
2 139320
9 164600
18 61820
1 42620
1 15800
1 0
4 25280
1 50560
13 406910
1 433770
3 474690
5 501380
6 471940
1 445250
1 72780
14 179950
17 72780
1 50860
1 26860
1 0
11 63000
1 117760
23 167880
1 183580
1 86400
1 70500
1 45600
1 61400
5 168410
2 281810
1 310250
1 360650
1 497790
1 524810
21 509110
1 349000
1 348820
1 202140
15 297980
12 234650
1 333100
3 229170
1 191260
1 145500
2 252510
1 277790
1 293590
1 356590
1 372390
1 389750
26 282740
1 257460
1 241660
1 178660
3 229060
2 324640
15 365720
3 381420
1 409680
1 463560
3 414860
1 432220
1 495220
2 602060
4 586260
17 473040
1 636980
1 665240
7 405400
1 389600
1 364700
1 284120
1 299920
1 340460
1 367150
16 321450
1 372050
13 425600
1 375360
1 479220
1 506840
3 478580
1 506840
3 569840
9 466620
1 430940
1 446640
1 471920
2 345860
1 432800
1 464300
1 491160
1 506960
1 538460
9 472770
1 444510
1 357510
1 341810
1 341650
1 325950
1 300150
1 299970
1 294370
1 240820
1 167380
1 135880
1 120080
1 93390
1 79890
1 53200
1 7600
1 0
23 104160
2 154560
1 181420
1 208110
2 233390
1 249190
6 70950
1 44260
1 44100
1 28300
7 172000
6 283980
18 48870
1 28300
1 26860
1 0
4 52140
2 67940
14 246160
13 230360
1 26860
1 0
1 63000
1 118540
6 205480
25 125860
1 39100
1 0
8 374060
15 426040
8 332940
1 0
12 113480
1 144980
8 225680
12 112370
1 80770
1 0
16 26860
16 52140
1 25280
1 0
3 176680
1 192480
1 219340
1 362980
1 391240
6 494950
21 286770
1 313630
1 297830
1 270970
1 242710
22 552750
1 579440
1 632990
9 606130
1 554280
1 230340
2 201950
1 58310
1 0
10 26860
23 0
2 26860
22 170500
8 143640
1 0
5 185110
4 237080
6 265520
1 366320
1 397820
1 429320
16 400880
1 274800
1 85690
1 59000
1 31500
1 0
30 143280
3 0
8 77280
1 105520
20 212620
1 264820
1 318370
1 343650
3 277970
1 170870
1 159030
1 105750
1 53550
2 85050
8 113490
1 141750
12 283930
1 312370
1 399130
7 370870
1 224690
1 196430
1 142880
1 115380
1 28440
1 0
8 25280
1 50560
23 25120
1 0
1 215830
16 375450
4 400570
1 463570
1 495070
10 255240
1 281230
1 117250
1 117090
1 57490
19 280290
1 357570
13 134770
1 103270
1 25990
1 0
24 303500
7 0
4 53550
1 110250
14 326640
12 353500
1 369300
1 385000
1 143450
1 141750
31 126050
1 72500
1 15800
2 0
2 126000
1 203280
1 230140
4 343540
1 454260
1 536200
8 567700
6 624400
8 677950
20 651260
9 525260
1 411860
1 334580
1 252470
1 195770
1 142220
1 31500
1 0
126 714000
29 0
48 714000
78 0
